"layers"	"units"	"drop"	"lr"	"batch_size"
9	512	0	1e-04	64
12	2048	0.1	0.01	32
10	1024	0	1e-04	32
4	256	0.2	1e-04	128
13	256	0	0.01	32
5	512	0.5	1e-04	128
10	256	0.5	0.01	128
5	512	0.1	0.01	128
5	1024	0	0.001	128
4	512	0.5	1e-04	171
5	256	0.2	1e-04	32
13	2048	0.4	1e-04	171
7	1024	0.5	0.01	32
4	1024	0.4	0.001	171
9	1024	0.4	0.001	171
6	256	0.3	1e-04	128
13	2048	0.3	0.01	171
3	512	0.1	0.001	64
12	256	0.2	0.01	128
4	2048	0	1e-04	128
13	256	0.3	0.01	64
5	256	0.1	1e-04	32
12	512	0.4	0.01	128
4	1024	0	0.01	64
10	2048	0.5	0.01	171
6	512	0.2	1e-04	171
3	256	0	0.01	171
10	1024	0	0.01	171
6	512	0.1	1e-04	128
10	256	0.2	0.01	64
3	256	0.2	1e-04	32
3	512	0.5	1e-04	128
3	2048	0.1	0.01	171
7	512	0.4	1e-04	64
8	2048	0.1	0.01	128
8	512	0.1	0.001	64
4	1024	0.1	0.01	128
8	512	0.3	0.01	32
10	1024	0.5	0.001	32
8	256	0	1e-04	171
4	2048	0	1e-04	32
9	512	0	0.01	171
5	512	0.4	0.01	64
10	1024	0.2	0.01	64
8	1024	0	0.01	64
7	256	0.1	1e-04	171
8	256	0.4	0.01	32
8	1024	0	0.01	32
12	1024	0.3	0.001	32
4	512	0.2	0.001	32
9	512	0	0.01	64
12	2048	0	0.01	32
3	512	0.5	1e-04	32
11	1024	0.1	0.001	32
13	1024	0.1	0.01	128
5	2048	0	1e-04	128
8	1024	0.2	1e-04	64
4	1024	0.3	0.001	128
13	256	0.4	1e-04	171
3	1024	0.2	0.01	128
8	1024	0.2	0.01	32
4	2048	0.5	1e-04	32
13	1024	0.4	0.001	64
5	256	0.1	0.001	128
10	512	0.3	0.01	64
13	2048	0.3	1e-04	64
9	2048	0.2	0.001	171
6	512	0.5	0.001	128
9	256	0	1e-04	171
7	2048	0.3	1e-04	32
3	256	0.1	0.001	32
9	512	0.3	1e-04	32
13	1024	0.3	0.001	32
5	1024	0.1	0.001	128
11	256	0	0.01	32
10	2048	0.1	0.001	64
11	256	0.5	0.01	128
4	1024	0.5	0.01	171
12	256	0.2	0.001	128
8	256	0.1	1e-04	171
10	512	0	0.001	64
5	256	0.4	0.001	64
4	2048	0.3	0.001	32
6	2048	0.4	0.01	128
12	1024	0.5	1e-04	128
13	2048	0	0.01	32
5	256	0.3	1e-04	32
4	256	0.1	0.001	32
8	256	0.3	1e-04	128
10	2048	0.4	1e-04	64
6	2048	0.5	1e-04	64
10	1024	0.5	0.01	171
13	256	0	1e-04	171
8	512	0.1	0.01	128
4	256	0.2	0.001	64
8	512	0.5	0.01	64
10	512	0.5	0.001	171
10	512	0.4	1e-04	171
3	1024	0.4	0.001	32
3	512	0	1e-04	64
